GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,org.exam.backend.services,RankService,65,0,4,0,16,0,5,0,3,0
backend,org.exam.backend.services,UserService,79,0,2,0,22,0,5,0,4,0
backend,org.exam.backend.services,ItemService,90,0,6,0,25,0,10,0,7,0
backend,org.exam.backend.entities,Comment,38,0,0,0,16,0,11,0,11,0
backend,org.exam.backend.entities,Item,46,0,2,0,19,0,12,0,11,0
backend,org.exam.backend.entities,User,80,0,0,0,35,0,23,0,23,0
backend,org.exam.backend.entities,Rank,45,0,0,0,20,0,13,0,13,0
backend,org.exam.backend,PasswordConfig,7,0,0,0,2,0,2,0,2,0
